00001 | 0000225960 | 0000009088 | 0000002396 | 0000003174| 
00276 | 0000124472 | 0000019100 | 0000009456 | 0000012150| 
00300 | 0000047400 | 0000005192 | 0000002688 | 0000002747| 
00914 | 0000146140 | 0000005240 | 0000000236 | 0000000537| 
00915 | 0000071024 | 0000006076 | 0000000844 | 0000001170| 
00939 | 0000181132 | 0000008376 | 0000000356 | 0000000560| 
00941 | 0000263040 | 0000003788 | 0000000888 | 0000000923| 
00942 | 0000052596 | 0000006164 | 0000002168 | 0000002354| 
00958 | 0000032560 | 0000002964 | 0000000148 | 0000000179| 
00959 | 0000563004 | 0000016024 | 0000004840 | 0000005504| 
00963 | 0000360712 | 0000006832 | 0000001176 | 0000001404| 
00964 | 0000045580 | 0000006492 | 0000001440 | 0000001870| 
00966 | 0000047268 | 0000003336 | 0000000268 | 0000000396| 
00969 | 0000070764 | 0000005712 | 0000000516 | 0000000819| 
00970 | 0000110488 | 0000003356 | 0000000228 | 0000000257| 
00972 | 0000004556 | 0000001864 | 0000000192 | 0000000203| 
00975 | 0000171776 | 0000009168 | 0000000012 | 0000000939| 
00976 | 0000036488 | 0000004124 | 0000000728 | 0000000757| 
00978 | 0000289212 | 0000006752 | 0000000740 | 0000000796| 
00984 | 0000503624 | 0000010420 | 0000003224 | 0000003523| 
00986 | 0001452852 | 0000022272 | 0000020996 | 0000021003| 
01048 | 0000047080 | 0000000956 | 0000000004 | 0000000107| 
01057 | 0000298412 | 0000010064 | 0000003340 | 0000003506| 
01097 | 0000188480 | 0000012268 | 0000000028 | 0000001407| 
01122 | 0000302500 | 0000007488 | 0000000984 | 0000001084| 
01135 | 0000072308 | 0000006528 | 0000001536 | 0000002247| 
01140 | 0000251852 | 0000007480 | 0000000280 | 0000000600| 
01195 | 0000501484 | 0000027724 | 0000007040 | 0000009150| 
01197 | 0000019908 | 0000001468 | 0000000096 | 0000000134| 
01236 | 0000077084 | 0000007280 | 0000000848 | 0000001521| 
01237 | 0000259804 | 0000002048 | 0000000004 | 0000000190| 
01249 | 0001422428 | 0000139564 | 0000133872 | 0000134270| 
01252 | 0000192108 | 0000005580 | 0000000580 | 0000000621| 
01254 | 0000050356 | 0000004712 | 0000000924 | 0000001025| 
01299 | 0000553652 | 0000013988 | 0000002412 | 0000002747| 
01319 | 0000538176 | 0000012716 | 0000002028 | 0000002280| 
01376 | 0000056948 | 0000002420 | 0000000452 | 0000000490| 
01378 | 0000056948 | 0000002420 | 0000000452 | 0000000492| 
01415 | 0004038264 | 0000156280 | 0000101096 | 0000109698| 
01471 | 0000317428 | 0000009392 | 0000002284 | 0000002438| 
01503 | 0001158692 | 0000033712 | 0000019928 | 0000021003| 
01637 | 0000349408 | 0000006468 | 0000000792 | 0000000862| 
01642 | 0000049928 | 0000004084 | 0000000476 | 0000000572| 
01644 | 0000220772 | 0000007060 | 0000000820 | 0000000912| 
01651 | 0001581156 | 0000015976 | 0000003996 | 0000005082| 
01652 | 0000183512 | 0000003032 | 0000000380 | 0000000402| 
01797 | 0000355820 | 0000008052 | 0000001404 | 0000001537| 
01800 | 0000275196 | 0000006800 | 0000000732 | 0000000817| 
